date,open,high,low,close,volume
10/15/2018,259.06,263.28,254.5367,259.59,6189026
10/12/2018,261,261.99,252.01,258.78,7189257
10/11/2018,257.53,262.25,249.03,252.23,8128184
10/10/2018,264.61,265.51,247.77,256.88,12781560
10/9/2018,255.25,266.77,253.3,262.8,12037780
10/8/2018,264.52,267.7599,249,250.56,13371180
10/5/2018,274.65,274.88,260,261.95,17900710
10/4/2018,293.95,294,277.67,281.83,9638885
10/3/2018,303.33,304.6,291.57,294.8,7982272
10/2/2018,313.95,316.84,299.15,301.02,11699690
10/1/2018,305.77,311.44,301.05,310.7,21714210
9/28/2018,270.26,278,260.555,264.77,33597290
9/27/2018,312.9,314.96,306.91,307.52,7337760
9/26/2018,301.91,313.89,301.1093,309.58,7835863
9/25/2018,300,304.6,296.5,300.99,4472287
9/24/2018,298.48,302.9993,293.58,299.68,4834384
9/21/2018,297.7,300.58,295.37,299.1,5038497
9/20/2018,303.56,305.98,293.33,298.33,7332477
9/19/2018,280.51,300,280.5,299.02,8264353
9/18/2018,296.69,302.64,275.5,284.96,16494280
9/17/2018,290.04,300.87,288.13,294.84,6866208
9/14/2018,288.76,297.3256,286.52,295.2,6757652
9/13/2018,288.02,295,285.18,289.46,6333281
9/12/2018,281.44,292.5,278.6463,290.54,10002150
9/11/2018,279.47,282,273.55,279.44,9161061
9/10/2018,273.26,286.03,271,285.5,14232250
9/7/2018,260.1,268.35,252.2548,263.24,22442310
9/6/2018,284.8,291.17,278.88,280.95,7472756
9/5/2018,285.05,286.78,277.18,280.74,7707342
9/4/2018,296.94,298.19,288,288.95,8304571
8/31/2018,302,305.3082,298.6,301.66,5367048
8/30/2018,302.26,304.6,297.72,303.15,7210625
8/29/2018,310.27,311.85,303.69,305.01,7410538
8/28/2018,318.41,318.88,311.19,311.86,7639453
8/27/2018,318,322.435,308.81,319.27,13062650
8/24/2018,320.7,323.85,319.4,322.82,3592734
8/23/2018,319.14,327.32,318.1,320.1,5138685
8/22/2018,320.87,323.88,314.67,321.64,5935853
8/21/2018,310.61,324.79,309,321.9,13147770
8/20/2018,291.704,308.5,288.2,308.44,17380430
8/17/2018,323.5,326.77,303.53,305.5,18895880
8/16/2018,339.91,342.28,333.82,335.45,6045392
8/15/2018,341.906,344.49,332.14,338.69,9073033
8/14/2018,358.45,359.1995,347.1,347.64,6948511
8/13/2018,361.13,363.19,349.02,356.41,10444920
8/10/2018,354,360,346,355.49,11530510
8/9/2018,365.55,367.01,345.73,352.45,16951800
8/8/2018,369.09,382.64,367.12,370.34,24535420
8/7/2018,343.84,387.46,339.1501,379.57,30596400
8/6/2018,345.46,354.98,341.82,341.99,8536766
8/3/2018,347.81,355,342.53,348.17,13646640
8/2/2018,328.44,349.99,323.16,349.54,23159160
8/1/2018,297.99,303,293,300.84,8768099
7/31/2018,292.25,298.32,289.07,298.14,5055094
7/30/2018,295.9,296.1,286.13,290.17,6799581
7/27/2018,307.25,307.6933,295.3404,297.18,5694690
7/26/2018,304.85,310.7,303.6411,306.65,4619567
7/25/2018,296.74,309.62,294.5025,308.74,7031382
7/24/2018,304.4209,307.7171,292.5452,297.43,9586186
7/23/2018,301.84,305.5,292.8601,303.2,10974820
7/20/2018,321.23,323.24,311.7093,313.58,5159831
7/19/2018,316.33,323.54,314.01,320.23,5907116
7/18/2018,325,325.5,316.25,323.85,5610085
7/17/2018,308.81,324.74,308.5,322.69,6987782
7/16/2018,311.71,315.16,306.25,310.1,7800454
7/13/2018,315.58,319.5849,309.25,318.87,5866776
7/12/2018,321.43,323.23,312.77,316.71,5711851
